City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
257,Samfya,ZM,-11.3649,29.5565,62.38,54,29,5.84,scattered clouds
258,Pimentel,PE,-6.8367,-79.9342,62.13,81,45,14.47,scattered clouds
259,Anloga,GH,5.7947,0.8973,75.52,90,72,8.79,broken clouds
260,Grand Gaube,MU,-20.0064,57.6608,65.37,75,0,5.01,clear sky
261,Little Current,CA,45.9793,-81.9248,72.41,78,92,16.06,overcast clouds
262,Shimoda,JP,34.6667,138.95,77.36,78,42,12.39,scattered clouds
263,Ribeira Grande,PT,38.5167,-28.7,72.68,74,99,11.18,overcast clouds
264,Petatlan,MX,17.5167,-101.2667,89.4,80,99,6.4,overcast clouds
265,Vanimo,PG,-2.6741,141.3028,83.46,69,59,7.49,broken clouds
266,Sambava,MG,-14.2667,50.1667,66.45,82,10,14.16,clear sky
267,Buin,CL,-33.7333,-70.75,64.44,53,0,3.96,clear sky
268,Lakes Entrance,AU,-37.8811,147.981,55.17,71,77,8.12,broken clouds
269,Kirakira,SB,-10.4544,161.9205,80.83,84,97,10.2,overcast clouds
270,Cayenne,GF,4.9333,-52.3333,78.84,89,0,3.44,clear sky
271,Esperance,AU,-33.8667,121.9,54.91,71,100,21.25,overcast clouds
272,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,2.3,broken clouds
273,Ambulu,ID,-8.345,113.6058,76.62,82,11,2.06,few clouds
274,Namwala,ZM,-15.7504,26.4384,60.55,54,1,4.23,clear sky
275,Bilibino,RU,68.0546,166.4372,46.04,96,100,6.22,moderate rain
276,Hvide Sande,DK,56.0045,8.1294,54.09,73,100,17.05,overcast clouds
277,Dunedin,NZ,-45.8742,170.5036,49.46,81,54,17.69,broken clouds
278,Siuna,NI,13.7332,-84.7773,76.06,79,91,2.15,overcast clouds
279,Omboue,GA,-1.5746,9.2618,74.82,88,44,5.64,scattered clouds
280,Nagyszenas,HU,46.6833,20.6667,59.99,91,100,4.05,overcast clouds
281,Seydi,TM,39.4816,62.9137,76.55,15,0,11.95,clear sky
282,Ust-Karsk,RU,52.7011,118.8077,60.78,75,27,0.98,scattered clouds
283,Maputo,MZ,-25.9653,32.5892,62.65,58,0,9.06,clear sky
